tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit_Depth,Sectors,star_rad,teff,SN,camera,ccd,star_mass,Qingress,logg
322862882,3205.01,PC,218.476418,-24.652824,13.364,1622.7462701,1.2366877,0.997,18200.0,11,0.59,4313.2,28.0,2,2,6.9417918245287265,-0.253365266973288,4.742603929048971
345645749,4041.01,PC,246.8555751,21.6167658,10.934,2006.3346311,7.8746324,5.164,6430.0,25,1.41,5914.8,34.0,1,2,0.8023651122575757,-0.9598667257502909,3.7158876612563025
319949055,3208.01,PC,174.3894004,-65.3079471,13.301,1620.4021348,2.3566575,3.439,7060.0,10,1.39,7822.0,11.0,3,2,3.5550788874357324,0.8650720197463837,2.1136701609692423
366120401,4039.01,PC,273.7344593,49.7615134,12.919,2005.3513765,4.7307715,3.123,8520.0,14,1.05,5777.0,12.0,2,1,8.105325046106424,0.805004181638167,1.3151282681209104
372392226,4035.01,PC,332.12399,68.9045161,13.087,2004.2470792,3.0295936,2.476,13030.0,17,,5081.3,32.0,3,3,2.400578669082469,0.0056654755898295495,4.662066686584008
375654303,4034.01,PC,335.1469869,71.7673314,12.58,2008.698736,1.8020959,3.009,8740.0,17,1.85,5760.0,69.0,3,3,4.910539610841468,0.7429529727901993,4.0105827695742935
389968080,4031.01,PC,277.3253965,55.3205278,13.269,2005.5683255,10.0460809,1.715,17660.0,14,0.95,5637.9,18.0,3,2,6.0729625485176655,-0.315396144241638,1.9753657844065962
470678283,4023.01,PC,297.0330435,85.0760563,13.498,2006.6724134,2.7991698,2.089,9000.0,18,,4841.6,18.0,3,2,3.715689905545413,-0.9197484822150461,4.156197878470625
102719996,4150.01,PC,62.521067,70.9156609,12.805,2020.8793661,9.7942872,3.541,3880.0,19,1.46,5737.0,11.0,1,1,1.9263605379512359,-1.288305657334901,3.3638273770169382
456560485,3296.01,PC,281.5589099,-57.6942455,12.373,1678.2046133,5.9493696,3.678,10370.0,13,1.15,5590.0,23.0,1,2,3.8956653224626314,-1.203160648107993,4.100811722178376
4711,3129.01,PC,218.9187762,-26.1792848,10.92,1620.2756679,2.3351463,1.996,5580.0,11,1.51,5949.1,20.0,2,3,1.7722871031820482,0.9442469385881309,3.299735927205777
381982417,3303.01,PC,284.0488306,-70.2493825,10.569,1678.1804671,8.6159869,1.768,3600.0,13,2.37,7400.0,22.0,1,1,0.6988663782973064,-0.9817020494788586,1.9942805778907635
193773468,4118.01,PC,268.3733199,46.3464254,12.738,2031.1073054,2.555231,2.487,12550.0,25,1.21,5855.0,58.0,3,2,5.150527945622592,-0.6930702499893017,2.78477917010127
198616607,4116.01,PC,271.4036416,47.5503615,12.463,2032.5781813,3.6311878,1.974,6500.0,14,1.63,5979.9,22.0,1,2,1.598979804162997,0.9231523510901671,4.7097617168244765
406236094,3271.01,PC,292.968843,-52.64563,11.059,2052.5653371,4.1394473,2.94,4070.0,13,1.96,6014.9,42.0,2,2,7.52687642967115,-0.18707181893282554,1.415957714464278
219924802,3282.01,PC,298.5228794,-53.3811828,11.721,2056.3065992,2.9478339,2.205,5030.0,13,1.35,6296.0,34.0,3,3,7.147891560379377,0.5752805016541331,4.532462450093593
166220082,3284.01,PC,295.1920042,-49.420395,11.012,2059.4233888,0.8102219,0.737,820.0,13,2.03,6329.0,10.0,2,3,7.684009539848516,-0.17368099197576292,1.3992528143914251
298752252,4089.01,PC,267.8512767,22.6614299,11.642,2032.3223242,3.2454778,1.489,7260.0,26,1.06,5895.5,19.0,3,1,5.7734784487504065,0.19259156893378648,4.523448149822966
38399060,2692.01,PC,54.0952302,-9.3744663,13.372,2163.7692149,3.6506781,2.79,20370.0,4,0.84,5343.0,49.0,2,2,1.090492003495041,-0.7039323793475624,4.080172370637506
200320748,2683.01,PC,76.3141389,-42.1286055,12.444,2197.6623151,1.5292851,1.167,2800.0,4,2.21,6295.5,18.0,1,3,7.964582428123322,-0.17769194701051316,1.6287778161593054
43604949,2702.01,PC,75.4757901,-7.660229,13.011,2196.4295165,1.9422802,2.768,8140.0,5,1.6,6950.0,34.0,1,1,1.5350735493735388,0.7515564173402112,1.2235119820502556
44791617,2701.01,PC,61.8368722,-27.2697701,12.526,2166.3588061,2.169466,1.653,1780.0,4,1.35,5823.0,9.0,2,2,5.36856159730029,-0.11784684013334079,1.357168735393382
32677675,2704.01,PC,85.7046435,-25.9965128,12.706,2225.7574563,3.6364993,3.509,16700.0,5,1.23,6552.0,131.0,2,3,4.022621999508939,0.24644731934712327,4.2491517173351365
153725446,2722.01,PC,66.4129894,-43.7204419,11.152,2199.4961711,0.708548,0.845,800.0,4,1.52,5678.0,17.0,3,1,0.5949425841394455,-1.3168489083293862,1.4712952762642786
372747949,4169.01,PC,311.8202966,76.1069983,12.755,2034.9939461,3.4027288,5.234,2850.0,26,2.18,5661.0,26.0,3,2,7.719921652992696,-0.6980448610793217,4.597340092340138
319473643,2739.01,PC,100.5693962,-50.1440309,11.901,2225.8778057,3.1474843,0.913,5640.0,6,0.7,5102.2,30.0,1,3,1.2431833589434669,-0.5567985387058301,1.7729464285563994
147437399,2756.01,PC,104.9062045,-17.4047963,12.259,2224.7542252,1.5622382,1.676,3230.0,6,3.08,4801.0,9.0,1,1,7.02232289065669,-0.6965817071443897,3.0515813738613886
168191686,2753.01,PC,101.5784549,-3.721564,13.459,2224.2446494,1.6281719,2.128,12020.0,6,1.35,6020.0,29.0,3,2,5.910068721040659,0.4908435029130749,1.1613057160265816
147125706,2757.01,PC,104.3355213,-14.1099482,12.66,2221.4380697,3.4813976,2.694,21800.0,6,1.4,6704.0,84.0,2,3,1.1568849752431438,-1.256074364688595,2.2736539467798385
79431527,2762.01,PC,104.244356,-19.6835969,12.432,2220.6614248,3.9072351,3.366,14650.0,6,1.13,6294.0,49.0,2,1,1.536394884044788,0.8606978721153813,3.1651751547088107
147804034,2800.01,PC,98.61748,-41.147817,12.18,2218.1779747,7.7538288,3.454,6560.0,6,1.17,5504.0,40.0,1,3,8.000630197649041,0.947267124399167,2.9924946626330646
160347548,2798.01,PC,91.4374225,-33.187516,12.805,2221.1678529,3.994474,4.436,14090.0,6,1.61,5931.0,60.0,3,3,5.737312958426173,-0.22446123824693043,2.2471862662370277
